대업종,중업종,항목,전체,5인 미만,5~9인,10~29인,30~49인,50~99인,100~299인,300~499인,500~999인,1000인 이상,통계기준년
총계,소계,사업장수 (개소),2876635,2145395,370946,262738,48004,29379,16023,2329,1220,601,2021
총계,소계,근로자수 (명),19378565,3212578,2410003,4180261,1793613,1999615,2577703,874924,824770,1505098,2021
총계,소계,요양재해자수 (명),122713,37267,16522,25920,9467,9653,11341,3403,3139,6001,2021
총계,소계,요양재해율 (%),0.63,1.16,0.69,0.62,0.53,0.48,0.44,0.39,0.38,0.4,2021
광업,소계,사업장수 (개소),1071,613,185,227,32,8,3,1,2,0,2021
광업,소계,근로자수 (명),10257,1082,1199,3904,1178,552,530,368,1444,0,2021
광업,소계,요양재해자수 (명),3336,145,105,248,231,227,586,561,1137,96,2021
광업,소계,요양재해율 (%),32.52,13.4,8.76,6.35,19.61,41.12,110.57,152.45,78.74,-,2021
광업,석탄광업 및 채석업,사업장수 (개소),56,26,15,10,1,0,1,1,2,0,2021
광업,석탄광업 및 채석업,근로자수 (명),2425,39,93,194,30,0,257,368,1444,0,2021
광업,석탄광업 및 채석업,요양재해자수 (명),2923,61,52,104,180,182,555,556,1137,96,2021
광업,석탄광업 및 채석업,요양재해율 (%),120.54,156.41,55.91,53.61,600,-,215.95,151.09,78.74,-,2021
광업,석회석·금속·비금속광업 및 기타광업,사업장수 (개소),1015,587,170,217,31,8,2,0,0,0,2021
광업,석회석·금속·비금속광업 및 기타광업,근로자수 (명),7832,1043,1106,3710,1148,552,273,0,0,0,2021
광업,석회석·금속·비금속광업 및 기타광업,요양재해자수 (명),413,84,53,144,51,45,31,5,0,0,2021
광업,석회석·금속·비금속광업 및 기타광업,요양재해율 (%),5.27,8.05,4.79,3.88,4.44,8.15,11.36,-,0,0,2021
제조업,소계,사업장수 (개소),400242,263433,62170,52755,10846,6737,3545,426,197,133,2021
제조업,소계,근로자수 (명),3959780,423909,408533,860581,409387,465874,562136,160538,134352,534470,2021
제조업,소계,요양재해자수 (명),31709,6472,4412,7459,2741,2726,2992,742,559,3606,2021
제조업,소계,요양재해율 (%),0.8,1.53,1.08,0.87,0.67,0.59,0.53,0.46,0.42,0.67,2021
제조업,식료품제조업,사업장수 (개소),30752,18853,4831,4819,1091,723,370,38,22,5,2021
제조업,식료품제조업,근로자수 (명),328898,30150,32043,79597,41290,49802,60301,14399,14987,6329,2021
제조업,식료품제조업,요양재해자수 (명),3287,474,476,891,406,438,458,58,60,26,2021
제조업,식료품제조업,요양재해율 (%),1,1.57,1.49,1.12,0.98,0.88,0.76,0.4,0.4,0.41,2021
제조업,섬유 및 섬유제품 제조업,사업장수 (개소),27626,19854,3826,2962,543,309,120,7,4,1,2021
제조업,섬유 및 섬유제품 제조업,근로자수 (명),170121,31075,25105,48385,20563,21151,17598,2565,2590,1089,2021
