중업종,링크1,링크2,링크3
금융및보험업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100000,,
기계기구·금속·비금속광물제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100001,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44790&codeCd=N000001&codeSeq=1100000,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44350&codeCd=N000001&codeSeq=1100000
수제품및기타제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100002,,
금속제련업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100003,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44215&codeCd=N000001&codeSeq=1110100,
화학및고무제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100004,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44524&codeCd=N000001&codeSeq=1110100,
선박건조및수리업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100005,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44643&codeCd=N000001&codeSeq=1110100,
출판·인쇄·제본업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100006,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44523&codeCd=N000001&codeSeq=1110100,
식료품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100007,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44521&codeCd=N000001&codeSeq=1110100,
목재및종이제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100008,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44788&codeCd=N000001&codeSeq=1110100,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44522&codeCd=N000001&codeSeq=1110100
섬유및섬유제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100009,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44645&codeCd=N000001&codeSeq=1110100,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44352&codeCd=N000001&codeSeq=1110100
전기기계기구·정밀기구·전자제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100010,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44791&codeCd=N000001&codeSeq=1100000,
의약품·화장품·연탄·석유제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100011,,
건설업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100012,,
농업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100013,,
시설관리및사업지원서비스업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100014,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44351&codeCd=N000001&codeSeq=1150100,
전문·보건·교육·여가관련서비스업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100015,,
도소매·음식·숙박업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100016,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44789&codeCd=N000001&codeSeq=1100000,
기타의각종사업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100017,,
국가및지방자치단체의사업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100018,,
부동산업및임대업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100019,,
해외파견자,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100020,,
주한미군,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100021,,
육상및수상운수업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100022,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44353&codeCd=N000001&codeSeq=1150100,
철도·항공·창고·운수관련서비스업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100023,,
통신업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100024,,
석탄광업및채석업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100025,,
석회석·금속·비금속광업및기타광업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100026,,
어업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100027,,
전기·가스·증기·수도사업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100028,,
임업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100029,,
