제목,링크,날짜
[3D콘텐츠]3D디지털 콘텐츠(12종 VR-HMD용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46997&codeCd=N000001&codeSeq=1100000,20241230
쇄석채취업 안전작업가이드 ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46786&codeCd=N000001&codeSeq=1990000,20241223
[조선업] 양중 클램프 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46779&codeCd=N000001&codeSeq=1110100,20241223
[조선업] 수직부재취부 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46776&codeCd=N000001&codeSeq=1110100,20241223
[조선업] 레버풀러 사용 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46775&codeCd=N000001&codeSeq=1110100,20241223
[VR]건설업 재해예방 VR콘텐츠(덤프트럭),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46600&codeCd=N000001&codeSeq=1120000,20241129
[YES or NO] 건설용리프트 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46683&codeCd=N000001&codeSeq=1120000,20241126
[YES or NO] 거푸집·동바리 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46673&codeCd=N000001&codeSeq=1120000,20241126
[YES or NO] 항타기·항발기 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46682&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 흙막이지보공 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46680&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 굴착사면 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46679&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 화물자동차 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46677&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 고소작업대 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46676&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 굴착기 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46675&codeCd=N000001&codeSeq=1120000,20241125
채석장 재해예방 XR콘텐츠(스토리텔링용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46643&codeCd=N000001&codeSeq=1990000,20241119
채석장 재해예방 XR콘텐츠(스테이지용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46642&codeCd=N000001&codeSeq=1990000,20241119
