제목,링크,날짜
[3D콘텐츠]3D디지털 콘텐츠(12종 VR-HMD용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46997&codeCd=N000001&codeSeq=1100000,20241230
[만화규칙] 추락에 의한 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46975&codeCd=N000001&codeSeq=1100000,20241227
쇄석채취업 안전작업가이드 ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46786&codeCd=N000001&codeSeq=1990000,20241223
[조선업] 양중 클램프 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46779&codeCd=N000001&codeSeq=1110100,20241223
[조선업] 안전난간 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46778&codeCd=N000001&codeSeq=1110100,20241223
[조선업] 곤돌라 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46774&codeCd=N000001&codeSeq=1110100,20241223
[조선업] 고소작업대 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46773&codeCd=N000001&codeSeq=1110100,20241223
키메세지(12월_동절기 재해예방),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46820&codeCd=N000001&codeSeq=1100000,20241216
"[VR]사무실 재해예방 VR콘텐츠(화재, 떨어짐, 넘어짐, 중량물 취급)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46598&codeCd=N000001&codeSeq=1100000,20241129
[VR]조선업 재해예방 VR콘텐츠(떨어짐),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46596&codeCd=N000001&codeSeq=1110100,20241129
"[VR]지게차 재해예방 VR콘텐츠(부딪힘, 떨어짐, 끼임)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46595&codeCd=N000001&codeSeq=1100000,20241129
[YES or NO] 건설용리프트 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46683&codeCd=N000001&codeSeq=1120000,20241126
[YES or NO] 이동식비계 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46674&codeCd=N000001&codeSeq=1100000,20241126
[YES or NO] 거푸집·동바리 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46673&codeCd=N000001&codeSeq=1120000,20241126
[YES or NO] 비계작업발판 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46670&codeCd=N000001&codeSeq=1100000,20241126
[YES or NO] 단부·개구부 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46669&codeCd=N000001&codeSeq=1100000,20241126
[YES or NO] 달비계 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46703&codeCd=N000001&codeSeq=1100000,20241125
[YES or NO] 항타기·항발기 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46682&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 타워크레인 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46681&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 흙막이지보공 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46680&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 이동식크레인 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46678&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 고소작업대 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46676&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 철골공사 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46672&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 사다리 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46671&codeCd=N000001&codeSeq=1100000,20241125
[YES or NO] 지붕공사 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46668&codeCd=N000001&codeSeq=1100000,20241125
채석장 재해예방 XR콘텐츠(숏폼용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46644&codeCd=N000001&codeSeq=1990000,20241119
채석장 재해예방 XR콘텐츠(스토리텔링용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46643&codeCd=N000001&codeSeq=1990000,20241119
채석장 재해예방 XR콘텐츠(스테이지용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46642&codeCd=N000001&codeSeq=1990000,20241119
말비계 상태 확인 및 안전수칙 준수,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46661&codeCd=N000001&codeSeq=1120000,20241118
난간 탈락에 의한 떨어짐 주의,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46656&codeCd=N000001&codeSeq=1150100,20241118
취약한 담장에 사다리 거치 금지,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46654&codeCd=N000001&codeSeq=1120000,20241118
사다리 사용 시 힌지 조심,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46648&codeCd=N000001&codeSeq=1100000,20241118
"[한국토지주택공사VR] \갱폼 낙하 사고\"" 재해사례 VR콘텐츠""",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46504&codeCd=N000001&codeSeq=1120000,20241030
[한국수자원조사기술원VR]교량 작업 중 추락,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46411&codeCd=N000001&codeSeq=1150100,20241002
[VR]예초·조경작업 재해예방 VR콘텐츠,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46417&codeCd=N000001&codeSeq=1150100,20240830
"식품제조작업 안전가이드(혼합기/교반기, 절단기, 분쇄기)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45850&codeCd=N000001&codeSeq=1110100,20240109
[안전쏙] 화물자동차(싣거나 내리는 작업),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45935&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(적재함),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45934&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(후진 시 주의),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45933&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(밀림방지 조치),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45932&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(유자격자 운전 및 이탈 시 조치),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45931&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 지붕 설치작업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45930&codeCd=N000001&codeSeq=1120000,20231231
[안전쏙] 지붕 수리작업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45929&codeCd=N000001&codeSeq=1120000,20231231
[안전쏙] 바닥 개구부,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45926&codeCd=N000001&codeSeq=1120000,20231231
[이지애의 안전있수다] 굴착기 재해예방(사전조사 및 작업계획서),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45909&codeCd=N000001&codeSeq=1120000,20231231
[이지애의 안전있수다] 지게차 떨어짐 재해예방(지게차 용도 외 사용 금지),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45906&codeCd=N000001&codeSeq=1100000,20231231
[이지애의 안전있수다] 단부 떨어짐 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45901&codeCd=N000001&codeSeq=1120000,20231231
[이수지의 괜찮으시겠어요?] 이동식비계편(근로자 탑승 상태로 이동금지),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45895&codeCd=N000001&codeSeq=1120000,20231229
[이수지의 괜찮으시겠어요?] 이동식비계편(불안전 행동 금지),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45894&codeCd=N000001&codeSeq=1120000,20231229
[이수지의 괜찮으시겠어요?] 이동식비계편(바퀴고정장치 및 아웃트리거 설치),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45893&codeCd=N000001&codeSeq=1120000,20231229
[이수지의 괜찮으시겠어요?] 이동식비계편(작업발판 모두 설치),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45892&codeCd=N000001&codeSeq=1120000,20231229
