제목,링크,날짜
쇄석채취업 안전작업가이드 ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46786&codeCd=N000001&codeSeq=1990000,20241223
키메세지(12월_동절기 재해예방),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46820&codeCd=N000001&codeSeq=1100000,20241216
[YES or NO] 건설용리프트 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46683&codeCd=N000001&codeSeq=1120000,20241126
[YES or NO] 거푸집·동바리 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46673&codeCd=N000001&codeSeq=1120000,20241126
[YES or NO] 항타기·항발기 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46682&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 타워크레인 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46681&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 흙막이지보공 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46680&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 굴착사면 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46679&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 이동식크레인 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46678&codeCd=N000001&codeSeq=1120000,20241125
채석장 재해예방 XR콘텐츠(숏폼용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46644&codeCd=N000001&codeSeq=1990000,20241119
채석장 재해예방 XR콘텐츠(스토리텔링용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46643&codeCd=N000001&codeSeq=1990000,20241119
채석장 재해예방 XR콘텐츠(스테이지용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46642&codeCd=N000001&codeSeq=1990000,20241119
[VR] 산업안전 실제 사고사례 <거푸집동바리 붕괴 편> ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44798&codeCd=N000001&codeSeq=1120000,20230113
[업종재해예방] 서비스업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44665&codeCd=N000001&codeSeq=1150100,20221228
[한 눈에 보는] 이동식비계 주요 작업안전수칙 포스터,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44560&codeCd=N000001&codeSeq=1100000,20221213
[한 눈에 보는] 주요 보호구 착용 길잡이 포스터,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44558&codeCd=N000001&codeSeq=1100000,20221213
[한 눈에 보는] 건설업 주요 작업안전수칙 포스터,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44554&codeCd=N000001&codeSeq=1120000,20221213
[한 눈에 보는] 굴착기 주요 작업안전수칙 포스터,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44553&codeCd=N000001&codeSeq=1120000,20221213
2021 사례로 보는 중대재해예방 가이드,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43827&codeCd=N000001&codeSeq=1100000,20211223
사업장 내 사고 발생 시 국민행동요령 5종,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43810&codeCd=N000001&codeSeq=1100000,20211221
<LH> 건설현장 안전보건 VR콘텐츠 4종(사고사례 12가지),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43458&codeCd=N000001&codeSeq=1120000,20210902
중대사고 이슈리포트(4호),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43450&codeCd=N000001&codeSeq=1120000,20210831
전문건설공종 안전관리 해체공사 안전작업절차서,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43334&codeCd=N000001&codeSeq=1120000,20210831
