제목,링크,날짜
쇄석채취업 안전작업가이드 ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46786&codeCd=N000001&codeSeq=1990000,20241223
[조선업] 양중 클램프 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46779&codeCd=N000001&codeSeq=1110100,20241223
[조선업] 레버풀러 사용 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46775&codeCd=N000001&codeSeq=1110100,20241223
[VR]제조업 맞음 재해예방 VR콘텐츠,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46602&codeCd=N000001&codeSeq=1110100,20241129
"[VR]조선업 재해예방 VR콘텐츠(동시,혼재작업) ",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46597&codeCd=N000001&codeSeq=1110100,20241129
[YES or NO] 비계작업발판 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46670&codeCd=N000001&codeSeq=1100000,20241126
[YES or NO] 타워크레인 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46681&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 철골공사 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46672&codeCd=N000001&codeSeq=1120000,20241125
채석장 재해예방 XR콘텐츠(숏폼용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46644&codeCd=N000001&codeSeq=1990000,20241119
채석장 재해예방 XR콘텐츠(스토리텔링용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46643&codeCd=N000001&codeSeq=1990000,20241119
채석장 재해예방 XR콘텐츠(스테이지용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46642&codeCd=N000001&codeSeq=1990000,20241119
"[한국토지주택공사VR] 건설현장 \신규근로자 체크리스트\"" VR콘텐츠""",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46506&codeCd=N000001&codeSeq=1120000,20241030
"[한국토지주택공사VR] \굴착기 버킷에 맞음\"" 재해사례 VR콘텐츠""",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46505&codeCd=N000001&codeSeq=1120000,20241030
[VR]예초·조경작업 재해예방 VR콘텐츠,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46417&codeCd=N000001&codeSeq=1150100,20240830
"금속절삭기계작업 안전가이드(연삭기, 선반, 밀링기)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45849&codeCd=N000001&codeSeq=1110100,20240109
"금속성형기계작업 안전가이드(프레스, 절단기, 절곡기)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45848&codeCd=N000001&codeSeq=1110100,20240109
"중량물 운반, 양중작업 안전가이드(지게차, 이동식크레인, 타워크레인)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45847&codeCd=N000001&codeSeq=1120000,20240109
[안전쏙] 화물자동차(싣거나 내리는 작업),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45935&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(적재함),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45934&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(후진 시 주의),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45933&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(밀림방지 조치),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45932&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(유자격자 운전 및 이탈 시 조치),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45931&codeCd=N000001&codeSeq=1100000,20231231
[VR] 조선업 재해예방 VR 콘텐츠 <선박건조> ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44805&codeCd=N000001&codeSeq=1990000,20230228
[모아서 보는] 굴착기 재해예방 안전수칙,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44746&codeCd=N000001&codeSeq=1120000,20230203
[특별교육] 선박 하역 작업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44598&codeCd=N000001&codeSeq=1990000,20230102
[사고사망재해예방] 낙하물·부딪힘 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44666&codeCd=N000001&codeSeq=1100000,20221228
[업종재해예방] 서비스업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44665&codeCd=N000001&codeSeq=1150100,20221228
[한 눈에 보는] 주요 보호구 착용 길잡이 포스터,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44558&codeCd=N000001&codeSeq=1100000,20221213
[한 눈에 보는] 굴착기 주요 작업안전수칙 포스터,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44553&codeCd=N000001&codeSeq=1120000,20221213
[한 눈에 보는] 지게차 주요 작업안전수칙 포스터,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44550&codeCd=N000001&codeSeq=1100000,20221213
[VR] 비계 해체 중 추락사고 발생! 각자의 시선으로 보는 사고사례 <비계 편>,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44369&codeCd=N000001&codeSeq=1120000,20221020
[VR] 이동식크레인! 사고사례를 통한 작업계획서 알아보기!  ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43811&codeCd=N000001&codeSeq=1120000,20220211
2021 사례로 보는 중대재해예방 가이드,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43827&codeCd=N000001&codeSeq=1100000,20211223
조선업 안전관리모델_엔진기계공,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43649&codeCd=N000001&codeSeq=1110100,20211208
[안전보건규칙 개정] 벌목작업 안전수칙,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43654&codeCd=N000001&codeSeq=1990000,20211123
[Quick Message] 공작기계 작업/점검 중 사망사고 연속 발생,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43561&codeCd=N000001&codeSeq=1110100,20211027
항만하역업 안전보건교육 교안(PPT),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43526&codeCd=N000001&codeSeq=1150100,20211007
사망사고 발생경고(골프장) OPS,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43466&codeCd=N000001&codeSeq=1150100,20210914
<LH> 건설현장 안전보건 VR콘텐츠 4종(사고사례 12가지),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43458&codeCd=N000001&codeSeq=1120000,20210902
중대사고 이슈리포트(3호),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43379&codeCd=N000001&codeSeq=1100000,20210831
울산항 재해 및 아차사고 사례집,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43407&codeCd=N000001&codeSeq=1990000,20210812
<한국동서발전> 발전소 안전보건 VR콘텐츠 6종,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43378&codeCd=N000001&codeSeq=1110100,20210722
산업용(일반작업용)리프트 점검 및 수리 작업안전 가이드 및 점검표 OPS,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43370&codeCd=N000001&codeSeq=1100000,20210720
보호구 착용상태 확인 ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43353&codeCd=N000001&codeSeq=1100000,20210716
보호구 착용 (아맞다 보호구!) ,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43352&codeCd=N000001&codeSeq=1100000,20210716
실습실 안전수칙(기계),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43349&codeCd=N000001&codeSeq=1110100,20210716
물류센터 종사자 안전수칙,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43347&codeCd=N000001&codeSeq=1150100,20210716
(캠페인) 건설현장 추락사고예방 카드북,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43293&codeCd=N000001&codeSeq=1120000,20210701
[Quick Message] 중량물 취급작업 중 로프 파단으로 인한 사고,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43344&codeCd=N000001&codeSeq=1120000,20210629
(지게차/차량계 건설기계) 끼임사고 예방 안전수칙,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43306&codeCd=N000001&codeSeq=1110100,20210623
(크레인) 끼임사고 예방 안전수칙,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43305&codeCd=N000001&codeSeq=1110100,20210623
산업재해예방을 위한 OPS (크레인),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43193&codeCd=N000001&codeSeq=1110100,20210617
사고다발 위험 설비 Key message(리프트),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43185&codeCd=N000001&codeSeq=1110100,20210617
장마철 건설현장 안전보건 길잡이(2021),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43211&codeCd=N000001&codeSeq=1120000,20210611
(제조업) 안전보건 VR 교재,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43231&codeCd=N000001&codeSeq=1110100,20210603
현장 작업자를 위한 보호구의 종류와 사용법(개정),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43100&codeCd=N000001&codeSeq=1100000,20210603
2021 안전보건자료 활용가이드 OPS,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43243&codeCd=N000001&codeSeq=1100000,20210602
사업장 안내방송 가이드 OPS,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43261&codeCd=N000001&codeSeq=1110100,20210531
"사업장 안내방송 음원 - 보호구,충돌,질식,추락,끼임",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43245&codeCd=N000001&codeSeq=1110100,20210525
동영상 VR 콘텐츠 - 물체에 맞음(굴착기 중량물 인양) <실사기반>,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42817&codeCd=N000001&codeSeq=1120000,20210524
건설폐기물 처리업 안전작업 가이드(책자),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43212&codeCd=N000001&codeSeq=1120000,20210517
[안전보건공단X광고천재 이제석] 보호구 포스터 8종,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42662&codeCd=N000001&codeSeq=1100000,20210409
"[Quick Message] 벌목작업 중 벌도목에 의한 깔림, 충돌 재해",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43082&codeCd=N000001&codeSeq=1990000,20210402
어업에서의 사망사고 예방을 위한 안전한 작업(리플릿),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43026&codeCd=N000001&codeSeq=1990000,20210310
작업 전 안전점검(지게차) - 자율안전점검표 포함,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42972&codeCd=N000001&codeSeq=1110100,20210219
위험기계기구 안전검사 매뉴얼 책자(6.산업용리프트),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42785&codeCd=N000001&codeSeq=1110100,20201230
위험기계기구 안전검사 매뉴얼 책자(3.이동식크레인),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42781&codeCd=N000001&codeSeq=1100000,20201230
위험기계기구 안전검사 매뉴얼 책자(2.고소작업대),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42780&codeCd=N000001&codeSeq=1100000,20201230
위험기계기구 안전검사 매뉴얼 책자_(1.크레인),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42779&codeCd=N000001&codeSeq=1100000,20201230
발전산업 발생형태별 안전 점검 수칙 OPL,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42458&codeCd=N000001&codeSeq=1110100,20201005
산재예방 연구브리프 제4호,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42359&codeCd=N000001&codeSeq=1100000,20200918
[카드뉴스] 당신이 중대재해에 대해 모르는 7가지,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42361&codeCd=N000001&codeSeq=1100000,20200910
에어컨 설치수리 안전작업가이드,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42366&codeCd=N000001&codeSeq=1150100,20200828
찾아가는 VR 표준교안(건설업),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42387&codeCd=N000001&codeSeq=1120000,20200731
news release (2020-5호)_1,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42384&codeCd=N000001&codeSeq=1100000,20200731
찾아가는 VR 표준교안(제조업),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42383&codeCd=N000001&codeSeq=1110100,20200731
news release (2020-1호)_1,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=41942&codeCd=N000001&codeSeq=1100000,20200731
안전보안관 교육용 OPL,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42211&codeCd=N000001&codeSeq=1120000,20200610
안전보건스티커(크레인),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=42130&codeCd=N000001&codeSeq=1100000,20200521
위험성평가 사업주교육,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=41963&codeCd=N000001&codeSeq=1100000,20200511
조선업 중대재해사례집,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=41982&codeCd=N000001&codeSeq=1110100,20200506
(교안)  지게차 운전자의 안전보건(특수형태근로종사자_건설기계),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=41780&codeCd=N000001&codeSeq=1100000,20200224
(교안)  타워크레인  운전자의 안전보건(특수형태근로종사자_건설기계),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=41794&codeCd=N000001&codeSeq=1120000,20200218
(교안)  항타 및 항발기 운전자의 안전보건(특수형태근로종사자_건설기계),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=41791&codeCd=N000001&codeSeq=1120000,20200218
(교안)  천공기 운전자의 안전보건(특수형태근로종사자_건설기계),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=41790&codeCd=N000001&codeSeq=1120000,20200218
(교안)  공기압축기 운전자의 안전보건(특수형태근로종사자_건설기계),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=41789&codeCd=N000001&codeSeq=1120000,20200218
