제목,링크,날짜
[3D콘텐츠]3D디지털 콘텐츠(12종 VR-HMD용),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46997&codeCd=N000001&codeSeq=1100000,20241230
[조선업] 양중 클램프 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46779&codeCd=N000001&codeSeq=1110100,20241223
[조선업] 수직부재취부 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46776&codeCd=N000001&codeSeq=1110100,20241223
[조선업] 레버풀러 사용 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46775&codeCd=N000001&codeSeq=1110100,20241223
[VR]건설업 재해예방 VR콘텐츠(덤프트럭),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46600&codeCd=N000001&codeSeq=1120000,20241129
"[VR]지게차 재해예방 VR콘텐츠(부딪힘, 떨어짐, 끼임)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46595&codeCd=N000001&codeSeq=1100000,20241129
[YES or NO] 항타기·항발기 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46682&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 타워크레인 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46681&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 흙막이지보공 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46680&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 이동식크레인 작업 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46678&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 화물자동차 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46677&codeCd=N000001&codeSeq=1120000,20241125
[YES or NO] 굴착기 재해예방,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46675&codeCd=N000001&codeSeq=1120000,20241125
"[한국토지주택공사VR] \지게차 하역 중 자재에 맞음\"" 재해사례 VR콘텐츠""",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46508&codeCd=N000001&codeSeq=1120000,20241030
"[한국토지주택공사VR] \굴착기 버킷에 맞음\"" 재해사례 VR콘텐츠""",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=46505&codeCd=N000001&codeSeq=1120000,20241030
"중량물 운반, 양중작업 안전가이드(지게차, 이동식크레인, 타워크레인)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45847&codeCd=N000001&codeSeq=1120000,20240109
"차량계 건설기계작업 안전가이드(굴착기, 로더, 불도저)",http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45846&codeCd=N000001&codeSeq=1120000,20240109
[안전쏙] 화물자동차(싣거나 내리는 작업),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45935&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(적재함),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45934&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(후진 시 주의),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45933&codeCd=N000001&codeSeq=1100000,20231231
[안전쏙] 화물자동차(밀림방지 조치),http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=45932&codeCd=N000001&codeSeq=1100000,20231231
