중업종,링크
전기기계기구·정밀기구·전자제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44791&codeCd=N000001&codeSeq=1100000
기계기구·금속·비금속광물제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44790&codeCd=N000001&codeSeq=1100000
도소매·음식·숙박업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44789&codeCd=N000001&codeSeq=1100000
목재및종이제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44788&codeCd=N000001&codeSeq=1110100
섬유및섬유제품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44645&codeCd=N000001&codeSeq=1110100
출판·인쇄·제본업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44523&codeCd=N000001&codeSeq=1110100
식료품제조업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44521&codeCd=N000001&codeSeq=1110100
육상및수상운수업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44353&codeCd=N000001&codeSeq=1150100
시설관리및사업지원서비스업,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=44351&codeCd=N000001&codeSeq=1150100
나머지,http://www.kosha.or.kr/aicuration/index.do?mode=detail&medSeq=43954&codeCd=N000001&codeSeq=1100000
